model,mode,accuracy,auc
logreg,clean,0.5612244897959183,0.5556972789115646
logreg,augmented,0.4897959183673469,0.4965986394557823
rf,clean,0.46938775510204084,0.4587585034013605
rf,augmented,0.5,0.4736394557823129
xgb,clean,0.5510204081632653,0.5612244897959183
xgb,augmented,0.5408163265306123,0.54421768707483
simple_lstm,clean,0.5714285714285714,0.48554421768707484
simple_lstm,augmented,0.5306122448979592,0.4880952380952381
cnn_transformer,clean,0.46938775510204084,0.4825680272108843
cnn_transformer,augmented,0.5714285714285714,0.5055272108843538
